trial_number,accuracy,conv1_filters,conv2_filters,lstm_hidden,dropout_cnn,dropout_fc,lr,batch_size,optimizer
82,0.7927875475128405,256,512,512,0.45,0.15000000000000002,0.00040965173267403074,128,AdamW
83,0.7332262026801134,16,64,512,0.3,0.1,0.000542382748756873,128,Adam
84,0.6279518650892602,256,512,512,0.15000000000000002,0.1,0.0008832756090385926,32,Adadelta
85,0.7147670106193921,256,64,512,0.2,0.2,0.00018327581243070308,128,AdamW
86,0.7894314027386922,16,256,64,0.25,0.1,0.0019436927709142397,128,AdamW
87,0.7976121210681929,32,128,512,0.3,0.25,0.0018119208092977003,128,AdamW
88,0.7510573874633387,32,128,512,0.25,0.3,0.00020170218963185422,32,AdamW
89,0.796771171827277,32,128,512,0.25,0.2,0.0008934028904937825,128,AdamW
90,0.8001278443386332,32,128,512,0.35000000000000003,0.25,0.0029553067599312303,128,AdamW
91,0.5507505082768985,32,128,512,0.2,0.2,0.0008883452875293657,128,Adadelta
92,0.6050966220860661,32,128,512,0.3,0.2,0.004809964569198518,128,AdamW
93,0.7812481776574538,64,128,512,0.3,0.3,0.0009175910778197404,128,Adam
94,0.7546086630701376,8,64,128,0.05,0.45,0.0033978734050485013,16,Adam
95,0.7216897353793704,16,16,64,0.6000000000000001,0.25,0.0003834865065604153,16,AdamW
96,0.5174078076081234,8,128,1024,0.6500000000000001,0.05,0.005818762475814426,128,AdamW
97,0.7929983785274285,8,64,512,0.5,0.25,0.002508862716472714,128,AdamW
98,0.5973175117718381,32,128,512,0.3,0.1,1.5988686930916866e-05,128,AdamW
99,0.7552459057487733,64,32,128,0.05,0.35000000000000003,0.0005328319195490834,16,Adam
100,0.7315449638697914,16,128,512,0.2,0.4,0.00038989583656115815,128,AdamW
101,0.7888019441838742,32,128,128,0.2,0.35000000000000003,0.0015276111765808171,128,AdamW
102,0.7944653560313105,128,256,64,0.55,0.2,0.0010704478713284924,32,AdamW
103,0.6663183601093999,16,32,1024,0.2,0.35000000000000003,0.003434455705311682,16,Adadelta
104,0.7625891051292099,16,128,64,0.6500000000000001,0.4,0.0002994684233270383,64,AdamW
105,0.7705563537580827,32,128,32,0.05,0.15000000000000002,0.0006127461872099425,128,AdamW
106,0.7950944187832226,16,512,512,0.1,0.1,0.0002033454875306359,32,AdamW
107,0.7967709079586728,32,256,512,0.1,0.3,0.0008379076890381358,128,AdamW
108,0.6799400490531736,32,32,512,0.3,0.3,0.00036755975532998237,128,AdamW
109,0.786283582227394,32,256,64,0.1,0.4,0.0005519766102620057,128,AdamW
110,0.755255141149913,32,256,512,0.2,0.4,0.0004192644774238766,128,Adam
111,0.7518953022153089,32,128,512,0.6500000000000001,0.35000000000000003,0.0005884200420905312,128,AdamW
112,0.6967307999308664,128,512,512,0.6500000000000001,0.35000000000000003,2.3242447534183044e-05,32,AdamW
113,0.5046141383436704,16,32,512,0.1,0.35000000000000003,0.009055477293919468,32,Adam
114,0.603625950421728,32,256,512,0.2,0.3,0.004874072123253285,16,AdamW
115,0.8022262594118633,8,512,512,0.6000000000000001,0.35000000000000003,0.00021233779164231658,16,AdamW
116,0.8026439634119793,16,512,512,0.4,0.3,0.00024323299016584303,16,AdamW
117,0.6333991685500288,8,16,512,0.55,0.35000000000000003,3.6843305097381285e-05,16,AdamW
118,0.558933601423835,64,512,512,0.4,0.3,0.0001235288972505981,16,Adadelta
119,0.7934146312502226,8,512,256,0.45,0.45,0.0004646514596555139,16,AdamW
120,0.8001261291927072,16,512,512,0.45,0.25,0.0003901099075694846,16,AdamW
121,0.694610351829203,16,512,512,0.45,0.3,0.002287147223352874,16,AdamW
122,0.7422478702505301,16,512,512,0.25,0.3,7.214092290157202e-05,16,AdamW
123,0.7904784333593243,8,512,512,0.55,0.3,0.00018987127687085118,16,AdamW
124,0.798449376148653,16,512,512,0.45,0.3,7.035646550759826e-05,16,Adam
125,0.7969820028418648,32,512,512,0.45,0.2,0.00019856950385468224,64,AdamW
126,0.6843492934258458,16,512,512,0.4,0.45,1.1875277034763193e-05,16,Adam
127,0.8028538708864534,32,512,512,0.35000000000000003,0.25,0.00024265004243886643,64,AdamW
128,0.6988391100767463,32,512,512,0.35000000000000003,0.3,5.382701582476748e-05,64,AdamW
129,0.7319635914100214,16,128,128,0.45,0.35000000000000003,0.00013705841817023841,16,Adam
130,0.6390710241927929,16,512,512,0.45,0.15000000000000002,0.0005702361777145183,16,SGD
131,0.7065862922898912,16,64,512,0.4,0.2,1.4746445525978054e-05,16,Adam
132,0.799077251491847,16,512,256,0.4,0.15000000000000002,0.00020893071420173542,16,Adam
133,0.6984141496900204,32,64,512,0.6000000000000001,0.05,0.0005218499666408156,128,AdamW
134,0.7858660101615799,16,512,256,0.3,0.25,0.004305501067469995,32,Adam
135,0.7994978580466071,16,512,128,0.4,0.1,0.00017496182872389968,16,Adam
136,0.7938372168195125,16,512,128,0.6000000000000001,0.05,0.00030296752255490263,16,Adam
137,0.799497989980909,32,512,512,0.45,0.1,0.0010152799431228058,64,AdamW
138,0.7929953440384826,128,512,256,0.5,0.15000000000000002,0.0008654141823864489,64,AdamW
139,0.7856532001324621,16,512,128,0.15000000000000002,0.1,9.033450291487329e-05,16,Adam
140,0.7948834558343328,32,512,256,0.5,0.15000000000000002,0.0002495191846982047,16,Adam
141,0.697188084221581,32,512,512,0.5,0.05,0.006754464227324271,64,AdamW
142,0.7925761887610445,8,512,512,0.4,0.2,0.0008135556831267186,64,Adam
143,0.6962881603476733,16,512,512,0.6000000000000001,0.25,0.0001906161137249539,16,Adam
144,0.683552542176098,32,64,128,0.6500000000000001,0.25,0.009826296184025432,128,AdamW
145,0.7953045901263008,16,512,256,0.35000000000000003,0.15000000000000002,0.00042856450937093734,16,Adam
146,0.673230925928125,32,16,512,0.5,0.2,0.0005159545526122006,64,AdamW
147,0.513425238768103,32,512,512,0.2,0.05,0.00013451629668796087,64,Adadelta
148,0.7445536860464962,16,64,512,0.5,0.2,0.00016198770938949283,32,AdamW
149,0.7890096087752143,128,512,64,0.35000000000000003,0.35000000000000003,0.00012966649306671106,16,AdamW
